champion,roles,tier,win rate,pick rate,ban rate,
Aatrox,top,1,50.86%,10.50%,14.18%,   
Darius,top,1,51.04%,10.16%,27.97%,   
Garen,top,1,51.64%,9.25%,4.93%,   
Ornn,top,1,51.48%,7.61%,1.17%,   
Mordekaiser,top,2,50.97%,6.83%,6.13%,   
Fiora,top,2,49.69%,6.15%,23.29%,   
Shen,top,1,52.57%,6.08%,1.68%,   
Gangplank,top,4,47.78%,5.77%,6.32%,   
Sion,top,3,49.60%,5.70%,0.86%,   
Jax,top,3,49.56%,5.23%,7.89%,   
Camille,top,2,51.08%,5.13%,4.47%,   
Renekton,top,4,48.72%,5.03%,1.96%,   
Riven,top,2,50.99%,4.99%,2.64%,   
Yone,top,4,48.00%,4.71%,7.32%,   
Sett,top,3,49.35%,4.66%,1.42%,   
Gnar,top,4,48.04%,4.64%,1.30%,   
Irelia,top,3,49.28%,4.11%,8.42%,   
Olaf,top,2,51.45%,3.94%,2.77%,   
Gwen,top,5,46.61%,3.39%,2.48%,   
Tryndamere,top,3,50.06%,3.27%,4.95%,   
Kayle,top,3,50.78%,3.20%,2.11%,   
Sejuani,top,2,51.54%,3.02%,0.47%,   
Illaoi,top,3,50.89%,2.89%,2.08%,   
Teemo,top,3,50.22%,2.88%,1.77%,   
Gragas,top,5,48.35%,2.77%,0.33%,   
Singed,top,1,53.61%,2.76%,0.41%,   
Akali,top,5,46.21%,2.73%,4.62%,   
Urgot,top,4,50.18%,2.70%,0.68%,   
Pantheon,top,3,50.99%,2.50%,0.55%,   
Nasus,top,4,49.12%,2.49%,1.03%,   
Yorick,top,4,50.11%,2.40%,1.54%,   
Shyvana,top,3,50.54%,2.39%,1.26%,   
Dr. Mundo,top,3,51.19%,2.36%,0.73%,   
Volibear,top,5,48.25%,2.35%,1.37%,   
Wukong,top,2,51.91%,2.35%,3.77%,   
Kled,top,3,50.74%,2.34%,0.69%,   
Malphite,top,5,47.56%,2.12%,1.55%,   
Kennen,top,5,48.39%,2.03%,0.32%,   
Akshan,top,3,51.35%,1.92%,3.40%,   
Yasuo,top,5,48.54%,1.88%,2.82%,   
Warwick,top,3,51.17%,1.83%,0.53%,   
Quinn,top,3,52.29%,1.76%,0.57%,   
Cho'Gath,top,5,49.90%,1.62%,0.34%,   
Vladimir,top,5,48.10%,1.62%,1.97%,   
Trundle,top,4,50.23%,1.55%,0.88%,   
Vayne,top,4,51.11%,1.53%,1.39%,   
Tahm Kench,top,5,49.68%,1.49%,0.54%,   
Sylas,top,5,47.92%,1.46%,1.00%,   
Lillia,top,3,51.81%,1.46%,0.79%,   
Jayce,top,5,48.29%,1.22%,0.09%,   
Poppy,top,4,52.02%,1.12%,0.79%,   
Karthus,top,5,47.11%,0.85%,0.33%,   
Rumble,top,5,50.53%,0.82%,0.06%,   
Heimerdinger,top,5,50.86%,0.81%,0.21%,   
Rengar,top,5,49.60%,0.79%,1.19%,   
Swain,top,5,50.19%,0.72%,0.29%,   
Cassiopeia,top,5,50.57%,0.69%,0.55%,   
Zac,top,5,49.11%,0.58%,0.64%,   
Kayn,jungle,1,50.90%,12.88%,20.06%,   
Diana,jungle,1,51.76%,12.79%,44.66%,   
Viego,jungle,3,47.56%,8.34%,6.97%,   
Lee Sin,jungle,4,45.59%,7.42%,1.57%,   
Kha'Zix,jungle,2,50.74%,7.19%,5.12%,   
Trundle,jungle,2,52.64%,6.63%,3.79%,   
Fiddlesticks,jungle,2,52.24%,6.45%,11.17%,   
